Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Sinnar,Sinnar,18.6,Black,8,Residential,1,1,21,17.8,Borewell,2,1,0,545000,564000
Chinchpada,Sinnar,5.17,Black_Red_Mixed,8,Agricultural,1,1,10,22.8,Borewell,7,2,0,229000,227000
Karanjwan,Niphad,2.78,Black,9,Residential,1,1,68,16.1,None,7,0,0,510000,533000
Wakad,Yeola,22.16,Black,8,Residential,0,0,47,29.6,None,2,3,0,125500,139000
Chandanpuri,Sinnar,4.28,Black,9,Residential,1,0,91,5.2,River,3,3,0,548500,539500
Talegaon,Chandwad,5.69,Black,7,Agricultural,0,1,44,2.1,None,10,5,0,53000,52000
Devdhari,Sinnar,22.15,Black_Red_Mixed,6,Agricultural,0,1,43,22.4,Well,10,3,0,145000,161000
Uchit,Chandwad,12.86,Black,7,Residential,0,0,97,12.7,Borewell,7,4,1,124500,131000
Chinchpada,Sinnar,21.55,Black,7,NA,1,0,92,10.3,Borewell,3,3,0,474000,458500
Kadwa,Yeola,24.3,Red,7,Commercial,1,0,91,15.3,Borewell,6,1,0,421000,437000
Dhodambe,Yeola,22.98,Black_Red_Mixed,8,Agricultural,1,1,49,7.3,Borewell,10,0,0,150000,145000
Satpur,Nashik,24.46,Black_Red_Mixed,6,Agricultural,1,1,43,15.9,Canal,4,4,0,581000,562000
Tarsa,Sinnar,10.13,Black_Red_Mixed,7,Agricultural,1,0,38,2,Borewell,9,1,0,261500,266000
Lasalgaon,Niphad,5.92,Red,5,Agricultural,0,1,37,16.2,River,10,4,0,204000,176500
Khamgaon,Yeola,4.96,Black,10,Agricultural,1,1,16,20.2,None,2,0,0,96500,85000
Ambad,Nashik,6.4,Black,10,Agricultural,0,1,19,13.3,None,9,0,0,388000,372500
Chandwad,Chandwad,24.23,Red,4,Agricultural,1,0,61,27.1,Borewell,1,3,0,71000,66000
Shedbol,Yeola,7.31,Black_Red_Mixed,8,Agricultural,0,1,84,22.1,Borewell,6,0,0,112500,115000
Pimpalgaon Khamb,Nashik,4.15,Red,3,Residential,0,0,40,12.2,None,10,1,0,700000,655500
Palkhed,Niphad,10.63,Black_Red_Mixed,7,Commercial,0,1,40,8,Borewell,5,3,0,1019000,918500
Nandur,Yeola,0.48,Black_Red_Mixed,5,Agricultural,0,0,54,26.4,None,6,2,0,48000,53000
Nimgaon,Yeola,15.39,Red,7,Agricultural,1,0,94,3.2,None,5,0,1,81000,79500
Shirasgaon,Yeola,6.99,Black_Red_Mixed,7,Agricultural,1,0,72,7.6,None,1,0,0,87500,88000
Manur,Yeola,0.34,Red,5,Agricultural,1,1,81,0.4,Borewell,3,4,0,139000,125000
Waghad,Nashik,3.92,Black,9,Agricultural,1,1,15,27,Borewell,4,5,0,525500,505500
Khamgaon,Yeola,24.35,Black_Red_Mixed,6,Residential,1,1,62,0.8,River,6,3,1,266000,268000
Mangi,Chandwad,6.85,Red,3,Agricultural,0,1,35,24.5,Well,5,1,0,61000,56000
Devdhari,Sinnar,8.37,Red,5,Agricultural,1,1,78,10,Borewell,5,1,0,249500,256000
Harsul,Chandwad,2.93,Black_Red_Mixed,7,Agricultural,1,0,83,5.8,Borewell,7,0,0,114000,109000
Karanjkhed,Yeola,9.26,Black,9,NA,1,0,48,15.3,Canal,6,3,0,232500,228000
Kherwadi,Sinnar,10.66,Red,4,NA,0,1,10,9.2,Borewell,10,4,0,329500,315500
Ozar,Nashik,16.97,Black_Red_Mixed,6,NA,0,1,89,10.1,River,4,5,0,856000,967000
Shirasgaon,Yeola,0.85,Black,10,NA,1,1,90,17.3,River,7,3,0,279500,279000
Niphad,Niphad,22.34,Red,3,Residential,0,1,99,15.6,Borewell,4,0,0,574000,531500
Dhodambe,Yeola,24.7,Black_Red_Mixed,8,NA,1,1,80,13.4,Borewell,8,3,0,251500,266000
Pathardi,Nashik,19.2,Black_Red_Mixed,6,Agricultural,0,0,44,10.1,None,2,1,0,287000,262500
Gangapur,Nashik,17.73,Black,10,Agricultural,1,0,63,11.7,River,1,4,0,586500,595000
Devpur,Niphad,7.64,Black,10,Agricultural,1,1,38,14.7,Borewell,8,0,0,390000,336500
Devdhari,Sinnar,18.17,Red,4,Commercial,1,1,85,17,Borewell,7,1,1,702500,637000
Abhona,Niphad,9.63,Black,9,Agricultural,1,0,63,7.6,Borewell,1,5,0,269000,272500
Deher,Chandwad,5.8,Black,7,Residential,1,0,12,18.7,Borewell,8,5,0,139000,146000
Thergaon,Chandwad,17.56,Red,4,NA,1,1,30,28.9,Borewell,1,2,0,168500,170500
Saptashringi,Chandwad,10.07,Black_Red_Mixed,5,NA,1,0,99,23.2,None,10,0,0,118000,117000
Nandur Madhyameshwar,Sinnar,8.84,Black_Red_Mixed,7,Agricultural,1,0,63,24.7,Borewell,6,5,1,135000,132000
Gangapur,Nashik,11.03,Black_Red_Mixed,7,NA,1,1,69,13.1,River,5,2,1,1088000,975500
Nandur,Yeola,7.15,Black_Red_Mixed,8,NA,1,1,73,25.5,Borewell,4,2,0,255000,242000
Girnare,Nashik,17.6,Black,7,Agricultural,0,0,62,14.7,River,8,5,0,368000,356000
Nashik Road,Nashik,2.55,Black,8,Agricultural,1,1,77,10.4,None,9,2,0,460500,494500
Anandwalli,Nashik,6.47,Black,8,Agricultural,1,1,98,5.6,Borewell,8,2,0,778500,797000
Raipur,Chandwad,15.02,Red,4,Agricultural,1,1,100,16.1,Borewell,1,4,0,84000,73500
Borgaon,Chandwad,2.79,Black,9,Agricultural,1,0,16,7.6,None,2,0,0,72000,73500
Lasalgaon,Niphad,4.01,Red,5,Agricultural,0,1,63,18.2,River,4,4,0,207000,201500
Umrane,Chandwad,21.54,Red,5,NA,0,1,22,28.4,Borewell,4,2,0,134500,128000
Vadner,Niphad,13.91,Black,10,Agricultural,1,0,39,8.7,Borewell,8,0,0,355000,370000
Kelzar,Chandwad,16.61,Red,6,Agricultural,0,0,44,24.8,Borewell,3,2,0,62000,66500
Nimgaon,Yeola,11.12,Black_Red_Mixed,7,NA,1,1,73,13.2,Canal,7,5,0,231000,246000
Satpur,Nashik,5.92,Black_Red_Mixed,5,Commercial,1,0,15,22.9,Borewell,9,5,0,1994500,1877500
Panchak,Nashik,11.04,Red,3,Agricultural,1,1,23,25.7,Well,8,2,0,455000,445000
Waghad,Nashik,1.16,Black,9,Agricultural,1,1,75,24.8,Borewell,9,3,0,634000,648500
Devpur,Niphad,15.66,Black_Red_Mixed,8,Residential,0,1,46,13.2,Canal,2,0,1,605500,647000
Wadangali,Sinnar,17.82,Black,7,NA,0,1,24,13.9,Borewell,3,3,1,315500,305000
Pathardi,Nashik,10.53,Black_Red_Mixed,8,Agricultural,1,1,86,15.3,None,2,2,0,443500,437500
Savargaon,Chandwad,23.37,Black_Red_Mixed,5,Agricultural,0,1,94,14.7,Borewell,9,3,0,72000,66500
Chinchpada,Sinnar,9.59,Red,4,Commercial,0,1,62,1.4,River,7,3,1,743500,681000
Shirasgaon,Yeola,12.51,Black,9,Residential,1,1,77,27.3,Borewell,3,3,1,217000,229500
Vani,Chandwad,11.87,Red,5,NA,1,0,52,25.6,None,7,2,0,100500,110000
Borgaon,Chandwad,21.84,Black,7,Agricultural,1,0,39,22.4,Well,2,5,0,64000,63500
Vadner,Niphad,17.43,Red,3,Agricultural,0,1,65,4.5,Canal,10,5,0,218500,234000
Palkhed,Niphad,15.33,Black,8,Agricultural,1,0,91,7.7,Borewell,1,3,1,248000,254500
Mulegaon,Sinnar,2.08,Red,7,Agricultural,1,1,68,25.4,Borewell,7,3,0,219000,209000
Peth,Nashik,14.48,Red,5,Agricultural,1,1,11,17,Canal,1,4,0,536500,550000
Nimgaon,Yeola,19.45,Black,9,Agricultural,0,0,94,20.5,Borewell,2,5,0,76500,84500
Ozar,Nashik,1.08,Black,8,Agricultural,0,1,32,6.1,River,6,4,0,516500,515000
Dwarka,Nashik,6.61,Red,6,Commercial,0,1,24,14.1,Borewell,4,5,0,2268000,2516500
Talegaon,Chandwad,9.3,Red,3,Agricultural,0,1,96,7.9,Well,6,0,0,76500,62500
Girnare,Nashik,22.13,Black_Red_Mixed,6,NA,1,1,99,9.1,Well,3,0,1,1088000,1150500
Kotamgaon,Nashik,3.12,Black,8,Agricultural,1,1,99,28.4,Well,3,3,0,567000,570500
Wakad,Yeola,10.35,Red,3,NA,0,1,40,25.7,Borewell,6,4,1,112500,110000
Nandur Madhyameshwar,Sinnar,10.1,Black,7,Commercial,1,0,37,19.3,Canal,1,0,0,902500,908500
Gangapur,Nashik,19.73,Black,8,NA,1,0,28,23.7,Canal,5,1,1,981000,844500
Mulegaon,Sinnar,2.97,Red,4,Agricultural,1,0,51,0.6,Borewell,3,5,0,193500,190500
Palkhed,Niphad,12.04,Red,7,NA,1,0,88,1.4,River,9,2,0,731500,750000
Harsul,Chandwad,24.97,Red,6,NA,1,1,19,27,Well,3,0,0,184500,203500
Jategaon,Sinnar,13.82,Black,9,Agricultural,1,0,99,3.5,Canal,9,5,1,203500,196000
Adgaon,Nashik,10.49,Red,6,Agricultural,0,1,95,7.7,None,8,0,0,385000,363000
Thengode,Niphad,2.64,Black_Red_Mixed,6,NA,1,1,52,20.1,Well,7,5,0,443500,428000
Anandwalli,Nashik,8.95,Black_Red_Mixed,6,Agricultural,1,1,54,25.4,Well,5,4,0,475500,506000
Waghad,Nashik,24.37,Red,7,NA,1,1,94,24.9,Borewell,3,2,0,1253500,1282500
Trimbak Road,Nashik,8.94,Black,8,NA,1,0,91,29.2,Borewell,9,1,0,1175500,1132000
Dwarka,Nashik,9.41,Black_Red_Mixed,5,Residential,0,1,16,20.3,Borewell,7,3,0,1168500,1210500
Mhasrul,Nashik,18.93,Black,10,Agricultural,1,1,77,20,Borewell,7,4,0,628500,633000
Ozar,Niphad,19.24,Red,5,Agricultural,0,1,32,4,Canal,4,4,0,250000,267000
